催化剂组合编号,平均转化率,平均选择性,转化率最佳拟合,R²_转化率,选择性最佳拟合,R²_选择性
A1,15.874031599247601,43.066,阿伦尼乌斯,0.9723803061909845,三次多项式,0.9843901340499428
A2,36.99650748529402,24.934000000000005,阿伦尼乌斯,0.9909637931889338,三次多项式,0.9889790341467369
A3,44.97083656689963,28.492857142857144,阿伦尼乌斯,0.9661885361979755,三次多项式,0.99797671950235
A4,39.63785134544185,19.353333333333335,阿伦尼乌斯,0.9961527841224224,阿伦尼乌斯,0.9669949604604049
A5,31.53334460007785,14.928333333333333,阿伦尼乌斯,0.9705695799364652,阿伦尼乌斯,0.9927098311180679
A6,38.15044942324683,13.112,阿伦尼乌斯,0.9848211103567189,三次多项式,0.9999300166744481
A7,44.66360536825832,14.607999999999999,阿伦尼乌斯,0.9997034475379745,阿伦尼乌斯,0.9881034685381133
A8,23.20868149512059,19.056,阿伦尼乌斯,0.9972996017742326,阿伦尼乌斯,0.9994062291303438
A9,12.794968305535189,20.851999999999997,阿伦尼乌斯,0.9611347114883607,阿伦尼乌斯,0.995163052108942
A10,8.126664962633878,3.9199999999999995,阿伦尼乌斯,0.9640198467902023,指数,0.9964969824149081
A11,8.630527123388497,3.04,指数,0.9999189591757307,阿伦尼乌斯,0.9996516461426311
A12,15.255398348021952,16.812,阿伦尼乌斯,0.991988194367282,阿伦尼乌斯,0.9974083251954589
A13,12.481012773834966,15.384,阿伦尼乌斯,0.9766999793145359,阿伦尼乌斯,0.9806552396340404
A14,19.125343089954338,8.236,阿伦尼乌斯,0.9916854610830663,阿伦尼乌斯,0.9885198591659269
B1,14.890905703108071,18.78,阿伦尼乌斯,0.9912806160733892,阿伦尼乌斯,0.9960892389497852
B2,14.942303833295094,15.825999999999999,阿伦尼乌斯,0.9604397195110516,阿伦尼乌斯,0.996788242227853
B3,5.425760550035321,9.761666666666667,指数,0.9993212814545391,阿伦尼乌斯,0.9766284663628908
B4,8.97670996712967,10.195,阿伦尼乌斯,0.950821409567185,三次多项式,0.9823966892595656
B5,13.732727597917084,11.69,阿伦尼乌斯,0.96444109298819,阿伦尼乌斯,0.9968098763666877
B6,21.50547090210622,14.501666666666667,阿伦尼乌斯,0.9752361593312971,阿伦尼乌斯,0.9714336847053395
B7,23.566666666666666,17.538333333333334,阿伦尼乌斯,0.9738076174828761,阿伦尼乌斯,0.997218651044082
