催化剂编号,指标,拟合方法,R²
A1,乙醇转化率,线性,0.9321734622225966
A1,乙醇转化率,二次多项式,0.9797476947004562
A1,乙醇转化率,三次多项式,0.9864718044989407
A1,乙醇转化率,指数,0.9844093589771659
A1,乙醇转化率,阿伦尼乌斯,0.9723803061909845
A1,C4烯烃选择性,线性,0.786917128699708
A1,C4烯烃选择性,二次多项式,0.9159573883128725
A1,C4烯烃选择性,三次多项式,0.9843901340499428
A1,C4烯烃选择性,指数,0.7855196501886487
A1,C4烯烃选择性,阿伦尼乌斯,0.8121226364906619
A2,乙醇转化率,线性,0.990006332764742
A2,乙醇转化率,二次多项式,0.9910799288848956
A2,乙醇转化率,三次多项式,0.9992947563007962
A2,乙醇转化率,指数,0.9892926930704644
A2,乙醇转化率,阿伦尼乌斯,0.9909637931889338
A2,C4烯烃选择性,线性,0.8359282345222706
A2,C4烯烃选择性,二次多项式,0.980284499138287
A2,C4烯烃选择性,三次多项式,0.9889790341467369
A2,C4烯烃选择性,指数,0.9587349129329934
A2,C4烯烃选择性,阿伦尼乌斯,0.9007441252926726
A3,乙醇转化率,线性,0.9642750458699388
A3,乙醇转化率,二次多项式,0.9663196404963277
A3,乙醇转化率,三次多项式,0.9873347696536594
A3,乙醇转化率,指数,0.9630675365102976
A3,乙醇转化率,阿伦尼乌斯,0.9661885361979755
A3,C4烯烃选择性,线性,0.9128147355573719
A3,C4烯烃选择性,二次多项式,0.9550750403463459
A3,C4烯烃选择性,三次多项式,0.99797671950235
A3,C4烯烃选择性,指数,0.9098127238501008
A3,C4烯烃选择性,阿伦尼乌斯,0.9364568263856219
A4,乙醇转化率,线性,0.9950303852471739
A4,乙醇转化率,二次多项式,0.9959112389350395
A4,乙醇转化率,三次多项式,0.9987483681313172
A4,乙醇转化率,指数,0.9958672954141661
A4,乙醇转化率,阿伦尼乌斯,0.9961527841224224
A4,C4烯烃选择性,线性,0.9173006202285853
A4,C4烯烃选择性,二次多项式,0.9765189309205866
A4,C4烯烃选择性,三次多项式,0.9984847933845439
A4,C4烯烃选择性,指数,0.9683082377274609
A4,C4烯烃选择性,阿伦尼乌斯,0.9669949604604049
A5,乙醇转化率,线性,0.8733798652075139
A5,乙醇转化率,二次多项式,0.9940266428187209
A5,乙醇转化率,三次多项式,0.9944509286021608
A5,乙醇转化率,指数,0.9937394136567347
A5,乙醇转化率,阿伦尼乌斯,0.9705695799364652
A5,C4烯烃选择性,线性,0.9400909538047857
A5,C4烯烃选择性,二次多项式,0.9905466232384595
A5,C4烯烃选择性,三次多项式,0.999986901176459
A5,C4烯烃选择性,指数,0.9950572049019222
A5,C4烯烃选择性,阿伦尼乌斯,0.9927098311180679
A6,乙醇转化率,线性,0.9674493093732323
A6,乙醇转化率,二次多项式,0.9860317819985236
A6,乙醇转化率,三次多项式,0.9987924968308844
A6,乙醇转化率,指数,0.9836116676913079
A6,乙醇转化率,阿伦尼乌斯,0.9848211103567189
A6,C4烯烃选择性,线性,0.7839555135541092
A6,C4烯烃选择性,二次多项式,0.9454026727107167
A6,C4烯烃选择性,三次多项式,0.9999300166744481
A6,C4烯烃选择性,指数,0.9901830865498582
A6,C4烯烃选择性,阿伦尼乌斯,0.8976727333334713
A7,乙醇转化率,线性,0.9987862714137015
A7,乙醇转化率,二次多项式,0.9997076178565543
A7,乙醇转化率,三次多项式,0.9997577569904486
A7,乙醇转化率,指数,0.9982741228825481
A7,乙醇转化率,阿伦尼乌斯,0.9997034475379745
A7,C4烯烃选择性,线性,0.9373790251622607
A7,C4烯烃选择性,二次多项式,0.9996506368012343
A7,C4烯烃选择性,三次多项式,0.999955907465085
A7,C4烯烃选择性,指数,0.9968421716530758
A7,C4烯烃选择性,阿伦尼乌斯,0.9881034685381133
A8,乙醇转化率,线性,0.9548150736162166
A8,乙醇转化率,二次多项式,0.9990387554144375
