催化剂,指标,数据点数,温度范围,温度跨度,拟合成功,R²,参数a,参数b,参数c,失败原因,数据特征
A1,乙醇转化率,5,250-350°C,100,True,0.9833342215292319,2365246.689547908,6873.2595246802475,-2.18655039904551,,"严格递增,变化218.8%"
A1,C4烯烃选择性,5,250-350°C,100,True,0.8761004858811816,-0.0013181182952172645,-5047.576677008107,53.63046858804961,,"主要递增,变化36.3%"
A2,乙醇转化率,5,250-350°C,100,True,0.9909637931889338,1033.5530736604594,538.7428948874228,-365.98549104353106,,"严格递增,变化171.0%"
A2,C4烯烃选择性,5,250-350°C,100,True,0.9617738142226635,96208989.11140512,9462.099439079404,15.260012068232017,,"主要递增,变化87.5%"
A3,乙醇转化率,7,250-450°C,200,True,0.9661885361979754,738.3747371086773,808.7475744048251,-149.65238047726552,,"严格递增,变化170.6%"
A3,C4烯烃选择性,7,250-450°C,200,True,0.9436431766195997,-35.94173339146907,-775.4193750327917,159.93284934598196,,"主要递增,变化168.2%"
A4,乙醇转化率,6,250-400°C,150,True,0.9961527841224224,1989.8509673757999,1643.7481849048345,-83.87596108623794,,"严格递增,变化213.0%"
A4,C4烯烃选择性,6,250-400°C,150,True,0.9711216545581817,41380.11715801843,4675.2264806567055,1.8784972304543053,,"主要递增,变化167.4%"
A5,乙醇转化率,6,250-400°C,150,True,0.9940026313708552,3505389.5885252655,7325.595501029467,10.127949962779818,,"主要递增,变化201.7%"
A5,C4烯烃选择性,6,250-400°C,150,True,0.9937425561827381,85014.20747100927,5173.728265451565,-1.1225511114407363,,"严格递增,变化243.0%"
A6,乙醇转化率,5,250-400°C,150,True,0.9851117379486387,14826.424784908544,3375.5852293871453,-13.866420255722566,,"主要递增,变化185.0%"
A6,C4烯烃选择性,5,250-400°C,150,True,0.9893648511023837,78904168734.50438,14559.711418756367,5.404190542558623,,"严格递增,变化259.5%"
A7,乙醇转化率,5,250-400°C,150,True,0.9997034475379745,619.91602413094,684.5956168874287,-148.1175005185975,,"严格递增,变化126.2%"
