催化剂组合编号,催化剂组合,温度,乙醇转化率(%),乙烯选择性（%）,C4烯烃选择性(%),乙醛选择性(%),碳数为4-12脂肪醇         选择性(%),甲基苯甲醛和甲基苯甲醇选择性(%),其他生成物的选择性(%),Co_SiO2_mass,Co_loading,HAP_mass,ethanol_conc,C4烯烃收率,总催化剂质量,Co_SiO2_HAP_ratio,装料方式,含HAP,Co_SiO2_HAP_ratio_corrected
A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,400,83.7133815760754,6.76,53.43,8.95,14.37,3.38,13.11,200,1.0,200,0.9,44.72805977609709,400,0.99999999995,I,True,1.0
A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,450,86.4097027402944,14.84,49.9,8.39,12.41,2.09,12.37,200,1.0,200,0.9,43.118441667406906,400,0.99999999995,I,True,1.0
A4,200mg 0.5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,400,88.4393444439815,3.67,41.02,10.82,16.47,10.51,17.51,200,0.5,200,1.68,36.27781909092121,400,0.99999999995,I,True,1.0
A6,200mg 5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,400,83.3476161758825,6.18,37.33,16.08,19.48,7.61,13.32,200,5.0,200,1.68,31.113665118456932,400,0.99999999995,I,True,1.0
A5,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度0.3ml/min,400,76.0198321376534,6.38,38.23,9.64,25.72,3.71,16.32,200,2.0,200,0.3,29.062381826224893,400,0.99999999995,I,True,1.0
A2,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,350,67.8792957456246,2.76,39.1,4.2,36.92,1.87,15.15,200,2.0,200,1.68,26.54080463653922,400,0.99999999995,I,True,1.0
B7,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度0.9ml/min,400,69.4,2.51,38.17,13.96,26.64,4.71,14.01,100,1.0,100,0.9,26.489980000000006,200,0.9999999999,II,True,1.0
A7,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.3ml/min,400,76.0274161977392,8.31,33.25,5.79,24.57,6.76,21.32,50,1.0,50,0.3,25.279115885748283,100,0.9999999998,I,True,1.0
A8,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.9ml/min,400,56.1163898081809,6.4,41.42,4.32,24.15,0.0,23.71,50,1.0,50,0.9,23.243408658548528,100,0.9999999998,I,True,1.0
B6,75mg 1wt%Co/SiO2- 75mg HAP-乙醇浓度1.68ml/min,400,63.2452382390403,4.11,30.48,11.12,34.9,4.71,14.68,75,1.0,75,1.68,19.27714861525948,150,0.9999999998666668,II,True,1.0
